code;libelle_fr;libelle_de;unite;lot_fr;gewerk_de
EU-O 01 40 01;Curage complet de bâtiment;Komplettkernsanierung/Rückbau;m2;01 Démolition;Abbrucharbeiten (18459)
EU-O 02 70 01;Caniveau à grille fonte;Rinnstein mit Gusseisenrost;ml;02 Terrassement/VRD;Erd-/Strassenbau
EU-O 02 80 01;Avaloir et raccordement au réseau EU;Straßenablauf und Kanalanschluss;u;02 Terrassement/VRD;Erd-/Kanalbau
EU-O 10 10 01;Semelle filante béton armé (fouille comprise);Streifenfundament Stahlbeton (Aushub inkl.);m3;03 GO;Betonarbeiten (18331)
EU-O 10 30 01;Pieu foré béton armé diam. 600;Bohrpfahl d600;ml;03 GO (fonda. spéciales);Sondergewerk
EU-O 10 40 01;Radier ép. 25 cm avec treillis soudé;Fundamentplatte 25cm m. Bewehrung;m2;03 GO;Betonarbeiten (18331)
EU-O 10 50 01;Mur de soutènement béton armé ép. 30;Stahlbetonstützmauer 30cm;m2;03 GO;Betonarbeiten (18331)
EU-O 10 70 01;Mur de fondation blocs béton 20;Grundmauer Betonblöcke 20;m2;03 GO;Mauerarbeiten (18330)
EU-O 10 80 01;Cuvelage étanche bicouche en sous-sol;Weiße Wanne / Bauabdichtung zweilagig;m2;03 GO;Bauabdichtung
EU-O 15 20 01;Poutre métallique IPE 300;Stahlträger IPE 300;ml;03 GO;Stahlbau
EU-O 21 05 01;Mur porteur blocs béton 20 (hourdage compris);Tragende Wand Betonblöcke 20 (mit Ringanker);m2;03 GO;Mauerarbeiten (18330)
EU-O 21 05 02;Voile béton armé ép. 18;Stahlbetonwand 18;m2;03 GO;Betonarbeiten (18331)
EU-O 21 05 06;Poteau bois lamellé-collé 20x40;Brettschichtholz-Stütze 20x40;ml;03 GO;Zimmer-/Holzbauarb. (18334)
EU-O 21 10 01;Mur extérieur remplissage briques 20;Nichttragende Wand Ziegel 20;m2;06 Façades;Mauerarbeiten (18330)
EU-O 21 25 01;Cloison plaque de plâtre BA13 sur ossature (ép. 98);;;;
EU-O 21 25 03;Cloison hydrofuge BA13 sur ossature (locaux humides);Feuchtraum-Trockenbauwand;m2;07 Plâtrerie;Trockenbauarb. (18340)
EU-O 22 10 01;Plancher poutrelles-hourdis + dalle compression 20+5;Decke mit Balken 20+5;m2;03 GO;Betonarbeiten (18331)
EU-O 22 10 03;Plancher collaborant acier-béton sur bac;Verbunddecke auf Trapezblech;m2;03 GO;Stahl-/Betonbau
EU-O 22 20 02;Plancher prédalles précontraintes ép. 15+5;Fertigteilplatte vorgespannt 15+5;m2;03 GO;Betonerarbeiten
EU-O 22 40 01;Chape ciment sculptée ép. 5 cm;Zementestrich 5cm;m2;14 Revêtements;Estricharbeiten (18353)
EU-O 22 40 03;Isolation sous chape PSE ép. 30;Trittschall-/Wärmedämmung EPS 30 unter Estrich;m2;14 Revêtements;Estricharb. (18353)
EU-O 23 20 01;Couverture tuiles terre cuite sur liteaux;Tondachziegel auf Lattung;m2;05 Couverture;Dachdeckungsarbeiten (18338)
EU-O 23 20 04;Faîtage et rives en tuiles spéciales;First und Ortgang mit Formziegeln;ml;05 Couverture;Dachdeckungsarb. (18338)
EU-O 23 30 01;Étanchéité bicouche SBS sur isolant;Dachabdichtung SBS zweilagig;m2;05 Étanchéité;Dachabdichtung
EU-O 23 30 03;Isolation sous étanchéité PIR ép. 120;Dämmung unter Abdichtung PIR 120;m2;05 Couverture-étanchéité;Dachabdichtung
EU-O 24 20 01;Main courante double PMR;Doppelter Handlauf barrierefrei;ml;07 Second œuvre;Metallbauarb.
EU-O 25 10 03;Façade ventilée cassettes aluminium sur montants;VHF Aluminiumkassetten auf Unterkonstruktion;m2;06 Façades;VHF (18351)
EU-O 25 20 01;Fenêtre alu coulissante double vitrage;Schiebefenster Aluminium;m2;06 Menuiseries ext.;Tischlerarbeiten (18355)
EU-O 25 20 05;Fenêtre de toit VR 78x118 rotation;Dachfenster 78x118 Dreh;u;05 Couverture;Dachdeckungs-/Tischlerarb.
EU-O 25 20 06;Porte de garage sectionnelle motorisée 240x200;Sektionaltor motorisch 240x200;u;06 Façades;Tore/Metallbau
EU-O 25 20 07;Baie vitrée coulissante alu 2 vantaux grand format;Schiebeanlage Aluminium 2-flügelig groß;m2;06 Façades;Metall-/Glasbau
EU-O 25 30 02;Store banne motorisé 4,0 x 2,0 m;Markise motorisch 4,0 x 2,0 m;u;06 Façades;Sonnenschutzgewerk
EU-O 25 30 03;Brise-soleil orientables lames aluminium;Verstellbare Aluminiumlamellen Raffstore;m2;06 Façades;Sonnenschutzgewerk
EU-O 25 40 01;ITE enduit mince sur polystyrène 140;WDVS Dünnputz auf EPS 140;m2;06 Façades;WDVS (18345)
EU-O 25 40 04;Lasure façade 2 couches sur bois;Fassadenlasur 2 Anstriche;m2;06 Façade / 15;Malerarb. (18363)
EU-O 26 20 01;Isolation combles perdus ouate de cellulose ép. 300;Zellulose Einblasdämmung 300mm;m2;07 Second œuvre;Dämmarbeiten
EU-O 26 30 01;Faux plafond dalles 60x60 sur ossature;Abgehängte Decke 60x60;m2;07 Plâtrerie;Trockenbauarbeiten (18340)
EU-O 26 30 03;Faux plafond acoustique perforé;Akustikdecke perforiert;m2;07 Second œuvre;Trockenbauarb. (18340)
EU-O 27 10 01;Carrelage grès cérame 60x60 collé;fliesen 60x60 k;;;
EU-O 27 10 05;Marche d'escalier chêne + contremarche;Eichenstufe + Setzstufe;u;14 Revêtements;Bodenbelags-/Tischlerarb.
EU-O 27 20 02;Sol PVC en lés soudés;PVC-Bahnware verschweißt;m2;14 Revêtements;Bodenbelagsarb.
EU-O 27 20 03;Revêtement résine époxy 2 mm;Epoxidharzbeschichtung 2mm;m2;14 Revêtements;Bodenbelagsarb.
EU-O 27 30 02;Lambris bois mur sur tasseaux;Holzvertäfelung auf Lattung;m2;14 Revêtements / 07;Tischlerarb.
EU-O 27 40 01;Peinture acrylique mate 2 couches sur enduit;Dispersionsfarbe 2 Anstriche;m2;15 Peinture;Malerarbeiten (18363)
EU-O 27 40 03;Peinture de finition sur radiateur;Heizkörperlack;u;15 Peinture;Malerarb. (18363)
EU-O 28 10 01;Porte intérieure âme alvéolée boisée + bâti;Innentüre Röhrenspan + Zarge;u;07 Menuiseries int.;Tischlerarbeiten (18355)
EU-O 28 10 04;Bloc-porte coupe-feu EI 60;T60 Türabschluss;u;SSI / 07 Second œuvre;Tischler-/Metallbauarb.
EU-O 28 20 02;Cuisine équipée (meubles + plan de travail + façades);Einbauküche (Schränke + Arbeitsplatte);ml;07 Agencement;Tischlerarb. (18355)
