code,fr,en,de,es,it,role_struct,uniclass_2015,omniclass_t21,uniformat_ii,guBIMClass,uni_8290
EU-E 10,Fondations et infrastructure,Foundations and substructure,Gründung und Untergeschoss,Cimentación y subsuelo,Fondazioni e infrastruttura,porteur,EF_20_05,21-01 10,A10,ES.10,1.1
EU-E 10 10,Semelles filantes,Strip footings,Streifenfundamente,Zapatas corridas,Plinti continui,porteur,EF_20_05_30,21-01 10 10,A1010,ES.10.10,1.1.1
EU-E 10 20,Semelles isolées,Pad footings,Einzelfundamente,Zapatas aisladas,Plinti isolati,porteur,EF_20_05_30,21-01 10 10,A1010,ES.10.10,1.1.1
EU-E 10 30,Pieux et micropieux,Piles and micropiles,Pfähle und Mikropfähle,Pilotes,Pali e micropali,porteur,EF_20_05_30,21-01 10 20,A1020,ES.10.30,1.1.2
EU-E 10 40,Radier général,Raft foundation,Plattengründung,Losa de cimentación,Platea fondale,porteur,EF_20_05_30,21-01 10 90,A1010,ES.10.20,1.1.1
EU-E 10 50,Parois moulées et soutènements,Diaphragm walls and retaining,Schlitzwände und Verbau,Pantallas y contención,Paratie diaframmi,porteur,EF_20_05,21-01 10 30,A1010,ES.10.40,1.1.2
EU-E 10 60,Longrines,Ground beams,Grundbalken,Vigas de cimentación,Travi rovesce,porteur,EF_20_05_30,21-01 15 10,A1010,ES.10.10,1.1.1
EU-E 10 70,Murs de fondation,Foundation walls,Grundmauern,Muros de cimentación,Muri di fondazione,porteur,EF_20_05,21-01 10 10 10,A1010,ES.10.10,1.1.1
EU-E 10 80,Cuvelage (bassin enterré),Tanked basement,Weiße Wanne,Vasca estanca interrata,Vasca interrata,porteur,EF_20_05,21-01 40,A20,ES.10.40,1.1
EU-E 15,Élévations et superstructure,Superstructure,Superstruktur,Elevación y superestructura,Elevazioni e sovrastruttura,porteur,EF_20_10,21-02 10,B10,ES.20,1.2
EU-E 15 10,Ossatures (frames),Framed structures,Skelettbau,Estructuras aporticadas,Strutture a telaio,porteur,EF_20_10_30,21-02 10 10,B1010,ES.20.10,1.2.1
EU-E 15 20,Structures massives,Solid structures,Massivbau,Estructuras masivas,Strutture massicce,porteur,EF_20_10_80,21-02 10 10,B1010,ES.20.10,1.2.1
EU-E 21,Murs,Walls,Wände,Muros,Murature,variable,EF_25_10,21-02 20,B2010,ES.21,1.2
EU-E 21 10,Murs extérieurs,Exterior walls,Außenwände,Muros exteriores,Murature esterne,variable,EF_25_10_25,21-02 20 10,B2010,ES.21.10,1.2
EU-E 21 10 05,Murs extérieurs porteurs,Loadbearing exterior walls,Tragende Außenwände,Muros exteriores portantes,Murature esterne portanti,porteur,EF_25_10_25,21-02 20 10,B2010,ES.21.10,1.2
EU-E 21 10 10,Murs extérieurs de remplissage,Non-loadbearing exterior walls,Nichttragende Außenwände,Muros exteriores no portantes,Murature esterne non portanti,non-porteur,EF_25_10_25,21-02 20 10,B2010,ES.21.10,1.2
EU-E 21 10 15,Murs rideaux,Curtain walls,Vorhangfassaden,Muros cortina,Pareti curtain wall,non-porteur,EF_25_10_25,21-02 20 20,B2010,ES.21.30,1.2
EU-E 21 10 20,Refends intérieurs porteurs,Interior loadbearing crosswalls,Tragende Innenwände,Muros interiores portantes,Murature interne portanti,porteur,EF_25_10,21-03 20 10,C1010,ES.21.20,1.2
EU-E 21 10 25,Cloisons intérieures,Interior partitions,Trennwände,Tabiques interiores,Tramezzi interni,non-porteur,EF_25_10_35,21-03 20 10,C1010,ES.21.20,2.2
EU-E 21 30,Poteaux,Columns,Stützen,Pilares,Pilastri,porteur,EF_20_10_30,21-02 10 10,B1010,ES.20.20,1.2.1
EU-E 21 40,Poutres et linteaux,Beams and lintels,Balken und Stürze,Vigas y dinteles,Travi e architravi,porteur,EF_20_10_30,21-02 10 10,B1010,ES.20.20,1.2.1
EU-E 21 50,Chaînages et renforts,Ring beams and stiffeners,Ringe und Verstärkungen,Cadenas y refuerzos,Cordoli e rinforzi,porteur,EF_20_10_30,21-02 10 10,B1010,ES.20.20,1.2.1
EU-E 22,Planchers et dalles,Floors and slabs,Decken und Platten,Forjados y losas,Solai e lastre,porteur,EF_30_20,21-02 10 10,B1010,ES.22,1.2.2
EU-E 22 10,Planchers béton armé,Reinforced concrete floors,Stahlbetondecken,Forjados de hormigón,Solai in c.a.,porteur,EF_30_20,21-02 10 10 10,B1010,ES.22.10,1.2.2
EU-E 22 20,Planchers poutrelles/hourdis,Beam-and-block floors,Decken mit Balken/Hohldielen,Forjados unidireccionales,Solai a predalles,porteur,EF_30_20,21-02 10 10,B1010,ES.22.20,1.2.2
EU-E 22 30,Dallages,Slab on grade,Bodenplatte,Soleras,Pavimenti su terra,porteur,EF_30_20,21-01 40 30,A1030,ES.22.30,1.2.2
EU-E 22 40,Chapes,Screeds,Estriche,Capas de regularización,Massetti,non-porteur,EF_30_20,21-03 40,C,ES.22.40,2.2
EU-E 23,Toitures,Roofs,Dächer,Cubiertas,Coperture,variable,EF_30_10,21-02 30,B1020,ES.23,1.2.3
EU-E 23 10,Charpentes,Roof framing,Dachkonstruktion,Estructura de cubierta,Struttura di copertura,porteur,EF_30_10,21-02 30 10,B1020,ES.23.10,1.2.3
EU-E 23 20,Couvertures (revêtement),Roof coverings,Dachdeckungen,Revestimiento de cubierta,Manto di copertura,non-porteur,EF_30_10,21-02 30 10,B30,ES.23.20,2.1.1
EU-E 23 30,Étanchéité toiture-terrasse,Roof waterproofing,Dachabdichtung,Impermeabilización de cubierta,Impermeabilizzazione di copertura,non-porteur,EF_30_10,21-02 30 40,B30,ES.23.30,2.1.1
EU-E 23 40,Zinguerie (gouttières descentes),Gutters and downpipes,Dachrinnen und Fallrohre,Canalones y bajantes,Gronde e pluviali,non-porteur,EF_30_10,21-02 30 50,B30,ES.23.40,2.1.1
EU-E 24,Escaliers et rampes,Stairs and ramps,Treppen und Rampen,Escaleras y rampas,Scale e rampe,porteur,EF_35_10,21-02 15,B1030,ES.24,1.2
EU-E 24 10,Escaliers principaux,Main stairs,Haupttreppen,Escaleras principales,Scale principali,porteur,EF_35_10_40,21-02 15 10,B1030,ES.24.10,1.2
EU-E 24 20,Rampes,Ramps,Rampen,Rampas,Rampe,porteur,EF_35_20,21-02 15,B1030,ES.24.20,1.2
