ouvrage_code,composant_code,coefficient,unite_composant,note
EU-O 21 25 01,EU-C 01 01,3.3,ml,"Montants esp. 600 mm + rails haut/bas, par m2 de cloison"
EU-O 21 25 01,EU-C 03 01,4.0,m2,Double plaque chaque face par m2 de cloison
EU-O 21 25 01,EU-C 04 02,1.0,m2,Remplissage laine 45 entre montants
EU-O 21 25 01,EU-C 05 01,30.0,u,Vis TTPC 25 par m2 de cloison
EU-O 21 25 01,EU-C 05 02,12.0,u,Vis TTPC 35 pour 2e plaque
EU-O 21 25 01,EU-C 07 01,1.3,ml,Bande à joint par m2 de cloison
EU-O 21 25 01,EU-C 07 02,2.0,kg,Enduit par m2 de cloison
EU-O 26 20 02,EU-C 01 02,2.5,ml,Fourrures verticales esp. 600 mm + rails
EU-O 26 20 02,EU-C 03 01,1.0,m2,1 plaque BA13 par m2 de parement
EU-O 26 20 02,EU-C 04 03,1.0,m2,PSE 100 collé entre fourrures
EU-O 26 20 02,EU-C 05 01,13.0,u,Vis TTPC 25 esp. 200 mm
EU-O 26 20 02,EU-C 07 01,0.65,ml,Bande à joint par plaque
EU-O 26 20 02,EU-C 07 02,0.5,kg,Enduit par m2 de parement
EU-O 26 30 02,EU-C 01 02,3.0,ml,Fourrures croisées esp. 500 mm
EU-O 26 30 02,EU-C 01 03,1.0,u,Suspendes esp. 1200 mm
EU-O 26 30 02,EU-C 03 01,1.0,m2,1 plaque BA13 par m2 de faux plafond
EU-O 26 30 02,EU-C 05 01,17.0,u,Vis TTPC 25 esp. 150 mm
EU-O 26 30 02,EU-C 07 01,0.65,ml,Bande à joint par plaque
EU-O 26 30 02,EU-C 07 02,0.5,kg,Enduit par m2
EU-O 27 30 02,EU-C 02 03,2.5,ml,Tasseaux horizontaux esp. 400 mm
EU-O 31 10 01,EU-C 16 01,1.1,ml,"Tube PER 20 par ml de réseau, raccords inclus"
EU-O 31 10 01,EU-C 16 04,0.8,u,"Colliers par ml de réseau apparent"
EU-O 31 10 01,EU-C 16 05,0.2,u,"Robinet d'arrêt, 1 pour 5 ml de réseau"
EU-O 31 20 01,EU-C 16 02,1.05,ml,"PVC 100 par ml, raccords et coudes inclus"
EU-O 31 20 01,EU-C 16 04,0.7,u,"Colliers par ml de chute"
EU-O 31 20 01,EU-C 16 06,0.15,u,"Syphons de branchement par ml"
EU-O 31 30 01,EU-C 16 03,1.5,ml,"Alimentations cuivre par WC suspendu"
EU-O 31 30 01,EU-C 16 02,1.0,ml,"Évacuation diam. 100 par WC suspendu"
EU-O 31 30 02,EU-C 16 03,2.0,ml,"Alimentations cuivre par douche italienne"
EU-O 31 30 02,EU-C 16 02,1.5,ml,"Évacuation diam. 50 par douche italienne"
EU-O 31 30 03,EU-C 16 03,1.5,ml,"Alimentations cuivre par lavabo"
EU-O 31 30 03,EU-C 16 05,2.0,u,"Robinet d'arrêt EF/EC par lavabo"
EU-O 31 30 03,EU-C 16 06,1.0,u,"Syphon lavabo"
EU-O 31 30 04,EU-C 16 03,2.0,ml,"Alimentations cuivre par évier"
EU-O 31 30 04,EU-C 16 05,2.0,u,"Robinet d'arrêt EF/EC par évier"
EU-O 31 30 04,EU-C 16 06,1.0,u,"Syphon bouteille évier"
EU-O 31 30 05,EU-C 16 03,2.0,ml,"Alimentations cuivre par baignoire"
EU-O 31 30 05,EU-C 16 05,2.0,u,"Robinet d'arrêt EF/EC par baignoire"
EU-O 31 30 05,EU-C 16 02,1.0,ml,"Évacuation diam. 40 par baignoire"
EU-O 31 30 06,EU-C 16 03,1.5,ml,"Alimentations cuivre par colonne de douche"
EU-O 31 30 06,EU-C 16 02,1.0,ml,"Évacuation diam. 40 par colonne de douche"
EU-O 32 20 01,EU-C 19 01,1.0,u,"Radiateur type 22 par unité"
EU-O 32 20 01,EU-C 16 03,2.5,ml,"Raccordement cuivre par radiateur"
EU-O 32 20 01,EU-C 16 05,2.0,u,"Robinets thermostatiques EF/EC par radiateur"
EU-O 32 20 02,EU-C 19 02,8.0,ml,"PER 16 par m2 de plancher chauffant (maille 15 cm)"
EU-O 32 20 02,EU-C 19 03,0.04,u,"Collecteur, 1 pour 25 m2 de zone"
EU-O 32 20 02,EU-C 19 04,1.1,m2,"Panneau diffuseur par m2"
EU-O 32 20 03,EU-C 17 01,3.0,ml,"Câble 3G2,5 alimentation par radiateur électrique"
EU-O 32 20 03,EU-C 17 03,2.0,ml,"Conduit ICTA par radiateur électrique"
EU-O 32 20 04,EU-C 16 03,1.5,ml,"Raccordement cuivre par sèche-serviettes mixte"
EU-O 32 20 04,EU-C 16 05,2.0,u,"Robinets d'arrêt par sèche-serviettes mixte"
EU-O 32 30 01,EU-C 18 01,2.5,ml,"Gaine isolée 160 par unité VMC DF"
EU-O 32 30 01,EU-C 18 03,8.0,u,"Bouches soufflage/extraction par VMC DF"
EU-O 32 30 02,EU-C 18 04,4.0,ml,"Gaine PPI 125 par VMC SF"
EU-O 32 30 02,EU-C 18 02,4.0,u,"Bouches d'extraction par VMC SF"
EU-O 32 30 03,EU-C 18 01,1.0,ml,"Gaine souple isolée par ml"
EU-O 33 10 01,EU-C 17 01,3.0,ml,"Câble 3G2,5 alimentation par point lumineux"
EU-O 33 10 01,EU-C 17 02,1.5,ml,"Câble 3G1,5 commande par point"
EU-O 33 10 01,EU-C 17 03,3.0,ml,"Conduit ICTA 25 par point lumineux"
EU-O 33 10 01,EU-C 17 08,1.0,u,"Douille DCL par point lumineux"
EU-O 33 10 01,EU-C 17 04,1.0,u,"Boîte d'encastrement par point"
EU-O 33 10 02,EU-C 17 05,2.0,u,"Disjoncteurs 16A pour 10 points prises"
EU-O 33 10 02,EU-C 17 06,1.0,u,"Différentiel 30mA par tableau divisionnaire"
EU-O 33 10 03,EU-C 17 08,1.0,u,"Douille DCL par point DCL"
EU-O 33 10 03,EU-C 17 04,1.0,u,"Boîte d'encastrement par point DCL"
EU-O 33 10 04,EU-C 17 01,3.0,ml,"Câble 3G2,5 par point de prise"
EU-O 33 10 04,EU-C 17 03,2.5,ml,"Conduit ICTA par point de prise"
EU-O 33 10 04,EU-C 17 04,1.0,u,"Boîte d'encastrement par prise"
EU-O 33 10 05,EU-C 17 02,2.0,ml,"Câble 3G1,5 commande va-et-vient"
EU-O 33 10 05,EU-C 17 04,1.0,u,"Boîte d'encastrement par interrupteur"
EU-O 33 10 06,EU-C 17 07,1.0,u,"Spot LED 7W par point"
EU-O 33 10 06,EU-C 17 02,2.0,ml,"Câble 3G1,5 alimentation spot"
EU-O 33 20 01,EU-C 17 03,1.05,ml,"ICTA 25 par ml de réseau"
EU-O 33 20 02,EU-C 17 01,1.0,ml,"Câble FTP Cat6 par point réseau"
EU-O 33 30 02,EU-C 17 07,1.0,u,"Réglette LED par unité (remplace spots)"
EU-O 33 30 03,EU-C 17 02,2.0,ml,"Câble 3G1,5 par applique extérieure"
EU-O 33 40 01,EU-C 17 09,1.1,ml,"Rail PV par panneau"
EU-O 33 40 01,EU-C 17 10,1.0,u,"Panneau PV par unité d'ouvrage"
EU-O 27 30 01,EU-C 12 02,0.15,L,"Colle à papier peint par m2"
EU-O 27 40 03,EU-C 12 02,0.1,L,"Sous-couche radiateur par unité"
EU-O 27 40 03,EU-C 12 01,0.4,L,"Peinture par radiateur"
EU-O 25 20 05,EU-C 13 01,0.8,u,"Mousse PU par fenêtre de toit"
