code,fr,en,de,es,it,unite,eu_e_parent,lot_fr,gewerk_de,mode_de_mesure
EU-O 01 40 01,Curage complet de bâtiment,Full building strip-out,Komplettkernsanierung/Rückbau,Vaciado completo de edificio,Spoglio completo dell'edificio,m2,EU-W 50,01 Démolition,Abbrucharbeiten (18459),"Surface de plancher curée, y compris évacuation, hors déconstruction porteuse"
EU-O 02 70 01,Caniveau à grille fonte,Channel drain with cast iron grate,Rinnstein mit Gusseisenrost,Cuneta con rejilla de fundición,Canale di gronda con griglia in ghisa,ml,EU-L 02,02 Terrassement/VRD,Erd-/Strassenbau,"Linéaire posé, fondation et pente compris"
EU-O 02 80 01,Avaloir et raccordement au réseau EU,Gully and sewer connection,Straßenablauf und Kanalanschluss,Arqueta y conexión a red,Pozzetto e allaccio alla fognatura,u,EU-L 02,02 Terrassement/VRD,Erd-/Kanalbau,"Par unité posée et raccordée, y compris canalisation jusqu'à 2 m"
EU-O 10 10 01,Semelle filante béton armé (fouille comprise),Reinforced concrete strip footing (excavation incl.),Streifenfundament Stahlbeton (Aushub inkl.),Zapata corrida hormigón armado (excavación incl.),Plinto continuo in c.a. (scavo incl.),m3,EU-E 10 10,03 GO,Betonarbeiten (18331),"Volume béton en place, réservations déduites >0,10 m3"
EU-O 10 30 01,Pieu foré béton armé diam. 600,Bored pile dia. 600,Bohrpfahl d600,Pilote hormigón d600,Palo trivello d600,ml,EU-E 10 30,03 GO (fonda. spéciales),Sondergewerk,"Longueur hors tout du pieu, y c. tête de pieu"
EU-O 10 40 01,Radier ép. 25 cm avec treillis soudé,Raft slab 25cm w/ mesh,Fundamentplatte 25cm m. Bewehrung,Losa 25 cm con malla,Platea 25 cm con rete,m2,EU-E 10 40,03 GO,Betonarbeiten (18331),Surface développée du radier
EU-O 10 50 01,Mur de soutènement béton armé ép. 30,RC retaining wall 30cm,Stahlbetonstützmauer 30cm,Muro de contención c.a. 30cm,Muro di sostegno c.a. 30cm,m2,EU-E 10 50,03 GO,Betonarbeiten (18331),"Surface d'un côté, cuvelage et drainage compris"
EU-O 10 70 01,Mur de fondation blocs béton 20,Foundation wall concrete blocks 20,Grundmauer Betonblöcke 20,Muro cimentación bloque 20,Muro fondazione blocchi 20,m2,EU-E 10 70,03 GO,Mauerarbeiten (18330),"Surface de mur en élévation, hors encastrement"
EU-O 10 80 01,Cuvelage étanche bicouche en sous-sol,Tanked basement waterproofing double layer,Weiße Wanne / Bauabdichtung zweilagig,Vasca estanca bicapa en sótano,Vasca impermeabilizzata bistrato interrata,m2,EU-E 10 80,03 GO,Bauabdichtung,"Surface enduite, relevés et arrondis compris"
EU-O 15 20 01,Poutre métallique IPE 300,Steel beam IPE 300,Stahlträger IPE 300,Viga metálica IPE 300,Trave metallica IPE 300,ml,EU-E 15 10,03 GO,Stahlbau,"Linéaire posé, platines, ancrages et peinture antirouille comprises"
EU-O 21 05 01,Mur porteur blocs béton 20 (hourdage compris),Loadbearing block wall 20 (incl. bond beam),Tragende Wand Betonblöcke 20 (mit Ringanker),Muro portante bloque 20 (con cerco),Muratura portante blocchi 20 (con cordolo),m2,EU-E 21 10 05,03 GO,Mauerarbeiten (18330),"Surface en élévation hors vides >0,50 m2, armatures horizontales comprises"
EU-O 21 05 02,Voile béton armé ép. 18,Reinforced concrete wall 18,Stahlbetonwand 18,Muro hormigón 18,Setto c.a. 18,m2,EU-E 21 10 05,03 GO,Betonarbeiten (18331),Surface du nu intérieur du coffrage
EU-O 21 05 06,Poteau bois lamellé-collé 20x40,Glulam column 20x40,Brettschichtholz-Stütze 20x40,Pilar de madera laminada 20x40,Pilastro in legno lamellare 20x40,ml,EU-E 21 30,03 GO,Zimmer-/Holzbauarb. (18334),"Linéaire posé, assemblages et traitement fongicide compris"
EU-O 21 10 01,Mur extérieur remplissage briques 20,Non-loadbearing brick wall 20,Nichttragende Wand Ziegel 20,Muro fábrica ladrillo 20,Muratura laterizio 20 non portante,m2,EU-E 21 10 10,06 Façades,Mauerarbeiten (18330),"Surface hors baies, appuis compris"
EU-O 21 25 01,Cloison plaque de plâtre BA13 sur ossature (ép. 98),Drywall partition 98 (double BA13),,,,,,,,
EU-O 21 25 03,Cloison hydrofuge BA13 sur ossature (locaux humides),Moisture-resistant drywall partition (wet rooms),Feuchtraum-Trockenbauwand,Tabique placa hidrófuga (cuartos húmedos),Tramezzo idrofugo cartongesso (ambienti umidi),m2,EU-E 21 10 25,07 Plâtrerie,Trockenbauarb. (18340),"Surface de parement des deux faces, profilés et visseries compris"
EU-O 22 10 01,Plancher poutrelles-hourdis + dalle compression 20+5,Beam-and-block floor 20+5,Decke mit Balken 20+5,Forjado semiresistente 20+5,Solaio laterocemento 20+5,m2,EU-E 22 20,03 GO,Betonarbeiten (18331),"Surface hors vides >0,25 m2, trémies comprises"
EU-O 22 10 03,Plancher collaborant acier-béton sur bac,Composite steel deck slab,Verbunddecke auf Trapezblech,Forjado colaborante chapa-hormigón,Solaio collaborante lamiera-calcestruzzo,m2,EU-E 22 10,03 GO,Stahl-/Betonbau,"Surface projetée, bac, aciers et béton compris, trémies >0,50 m2 déduites"
